,insert,update,move,delete
HdlDirection-HdlIdDef,4.0,,,3.0
HdlOp-InfixExpression-HdlStmAssign,7.0,43.0,5.0,5.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,2.0,18.0,1.0,14.0
HdlOp-InfixExpression-HdlOp-InfixExpression,30.0,119.0,57.0,44.0
HdlOp-InfixExpression-HdlStmIf,42.0,102.0,28.0,56.0
HdlOp-PrefixExpression-HdlStmIf,4.0,4.0,4.0,
HdlOp-MemberAccessing-HdlStmAssign,6.0,27.0,4.0,2.0
HdlOp-TERNARY-HdlStmAssign,1.0,7.0,1.0,3.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,8.0,17.0,,8.0
HdlOp-MemberAccessing-HdlOp-PrefixExpression,5.0,14.0,3.0,2.0
HdlOp-DOWNTO-HdlOp-MemberAccessing,2.0,17.0,,4.0
HdlOp-InfixExpression-HdlOp-MemberAccessing,3.0,3.0,,
HdlOp-InfixExpression-HdlIdDef,2.0,,,3.0
HdlOp-InfixExpression-HdlOp-TERNARY,,6.0,2.0,1.0
HdlOp-MemberAccessing-HdlIdDef,,3.0,,2.0
HdlOp-MemberAccessing-HdlStmCase,,3.0,,
HdlOp-MemberAccessing-HdlOp-MemberAccessing,,24.0,,
HdlOp-InfixExpression-HdlOp-DOWNTO,,1.0,,1.0
HdlOp-PrefixExpression-HdlStmAssign,,1.0,1.0,1.0
HdlOp-InfixExpression-HdlOp-PrefixExpression,,2.0,1.0,
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,,,2.0,
HdlOp-PARAMETRIZATION-HdlIdDef,,,3.0,
