,update,insert,delete,move
HdlOp-InfixExpression-HdlStmIf,58.0,19.0,7.0,8.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,9.0,2.0,,9.0
HdlOp-Assignment-HdlStmProcess,163.0,43.0,19.0,
HdlOp-InfixExpression-HdlOp-InfixExpression,84.0,28.0,12.0,12.0
HdlOp-MemberAccessing-HdlIdDef,42.0,23.0,5.0,1.0
HdlOp-Assignment-HdlStmCase,25.0,18.0,1.0,
HdlOp-MemberAccessing-HdlOp-Assignment,60.0,57.0,,2.0
HdlOp-Assignment-HdlStmIf,41.0,29.0,14.0,7.0
HdlOp-InfixExpression-HdlStmAssign,19.0,3.0,2.0,3.0
HdlOp-InfixExpression-HdlStmFor,3.0,,,
HdlOp-Assignment-HdlStmFor,3.0,,2.0,
HdlOp-InfixExpression-HdlOp-Assignment,14.0,,5.0,
HdlOp-MemberAccessing-HdlOp-InfixExpression,10.0,,2.0,2.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,15.0,8.0,8.0,
HdlOp-InfixExpression-HdlOp-MemberAccessing,15.0,8.0,,
HdlOp-FunctionCall-HdlIdDef,1.0,,,
HdlOp-MemberAccessing-HdlStmAssign,19.0,10.0,8.0,9.0
HdlOp-PARAMETRIZATION-HdlIdDef,32.0,2.0,,2.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,34.0,,,
HdlOp-InfixExpression-HdlOp-DOWNTO,26.0,,,
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,2.0,,,
HdlOp-InfixExpression-HdlIdDef,2.0,,1.0,
HdlOp-PrefixExpression-HdlStmIf,,,1.0,2.0
