,update,insert,move,delete
HdlOp-PrefixExpression-HdlStmAssign,4.0,,,1.0
HdlOp-MemberAccessing-HdlStmAssign,18.0,3.0,4.0,
HdlOp-DOWNTO-HdlOp-MemberAccessing,11.0,2.0,1.0,
HdlOp-InfixExpression-HdlOp-DOWNTO,8.0,,,1.0
HdlOp-InfixExpression-HdlOp-InfixExpression,67.0,28.0,16.0,14.0
HdlOp-MemberAccessing-HdlOp-MemberAccessing,10.0,2.0,,
HdlOp-InfixExpression-HdlOp-MemberAccessing,2.0,,,
HdlOp-InfixExpression-HdlStmIf,29.0,8.0,22.0,6.0
HdlOp-TERNARY-HdlStmAssign,2.0,,,2.0
HdlOp-InfixExpression-HdlStmAssign,36.0,10.0,5.0,4.0
HdlOp-MemberAccessing-HdlOp-InfixExpression,5.0,2.0,2.0,1.0
HdlOp-PrefixExpression-HdlOp-InfixExpression,7.0,4.0,3.0,7.0
HdlOp-Assignment-HdlStmProcess,2.0,4.0,,1.0
HdlOp-InfixExpression-HdlOp-TERNARY,1.0,,1.0,1.0
HdlOp-PrefixExpression-HdlStmIf,1.0,,1.0,
HdlOp-MemberAccessing-HdlIdDef,3.0,1.0,,1.0
HdlOp-PARAMETRIZATION-HdlOp-MemberAccessing,1.0,1.0,,1.0
HdlOp-DOWNTO-HdlOp-PARAMETRIZATION,1.0,,,
HdlOp-Assignment-HdlStmIf,1.0,,,2.0
HdlOp-FunctionCall-HdlStmIf,1.0,1.0,1.0,1.0
HdlOp-FunctionCall-HdlOp-FunctionCall,1.0,,1.0,
HdlOp-PARAMETRIZATION-HdlIdDef,,1.0,,
HdlDirection-HdlIdDef,,2.0,,1.0
HdlOp-Assignment-HdlStmCase,,1.0,1.0,
HdlOp-MemberAccessing-HdlOp-TERNARY,,,1.0,
HdlOp-MemberAccessing-HdlStmCase,,,1.0,
